ward,subcounty,county,latitude,longitude
Shirungu-mugai Ward,Malava Sub County,Kakamega,0.4572809438126623,34.78961264232964
South Kabras Ward,Malava Sub County,Kakamega,0.37455559214430156,34.80853714107573
Butsotso East Ward,Lurambi Sub County,Kakamega,0.3229927306495305,34.74592180877698
Butsotso South  Ward,Lurambi Sub County,Kakamega,0.23284554134123023,34.62540487563527
Butsotso Central Ward,Lurambi Sub County,Kakamega,0.27589293311859725,34.67390865309409
Sheywe Ward,Lurambi Sub County,Kakamega,0.29839999399397776,34.75155292744998
Mahiakalo Ward,Lurambi Sub County,Kakamega,0.2944676641567808,34.7769887027328
Shirere Ward,Lurambi Sub County,Kakamega,0.26330411512498636,34.7434956316254
Ingoste-matiha Ward,Navakholo Sub County,Kakamega,0.3575692463688543,34.73176248791758
Shinoyi-shikomari-esumeiya Ward,Navakholo Sub County,Kakamega,0.3253809314921648,34.6716809372711
Bunyala West Ward,Navakholo Sub County,Kakamega,0.4031616725591218,34.62451203482861
Bunyala East Ward,Navakholo Sub County,Kakamega,0.4521322779176049,34.706057158706066
Bunyala Central Ward,Navakholo Sub County,Kakamega,0.4015643494471256,34.68427446106499
Mumias Central Ward,Mumias West  Sub County,Kakamega,0.3265839705969107,34.45980471650934
Kipevu Ward,Changamwe Sub County,Mombasa,-4.037484251978808,39.630718588154295
BELGUT,AINAMOI,KERICHO,-0.36161935312599186,35.22289618680639
