Ward,Latitude,Longitude,Irradiance_kWh/m2/day,Ambient_Temperature_C
Bukembe West Ward,0.5777946177403704,34.60714781493965,6.11,21.7
Bukembe East Ward,0.5796123556988717,34.661045261697744,6.1,21.9
Bokoli Ward,0.6758533937525176,34.6761544725754,6.05,21.4
Kibingei Ward,0.7759385049141216,34.67991008049235,5.91,20.4
Kimilili Ward,0.7511326502315138,34.72937210991035,6.02,20.4
Maeni Ward,0.8031009788484959,34.74813202377518,5.91,20.3
Kamukuywa Ward,0.8013528696947088,34.788402610487054,5.96,20.0
Mbakalo Ward,0.708229161390558,34.85832129624609,6.07,20.6
Naitiri/kabuyefwe Ward,0.7646759573660257,34.903640201684375,6.04,19.7
Milima Ward,0.7744221887859603,34.84557534908877,6.03,20.3
Ndalu/ Tabani Ward,0.8492717237578312,34.97785419331591,5.95,18.6
Tongaren Ward,0.7925480341923834,34.96066880673886,6.0,19.5
Soysambu/ Mitua Ward,0.7809173021560439,35.02752437618344,6.02,18.9
Mautuma Ward,0.7191406136866749,35.00476621701181,6.06,19.8
Lugari Ward,0.6758670759997998,34.92605807401865,6.07,20.4
Lumakanda Ward,0.6443157864278864,34.99060649022243,6.06,19.3
Chekalini Ward,0.6233922349228571,34.90468151590029,6.09,20.5
Chevaywa Ward,0.527541209008541,34.76001919578494,6.1,22.1
Lwandeti Ward,0.6063589760869997,34.845794703372555,6.09,21.3
Likuyani Ward,0.6795647979248819,35.10556526864116,6.05,19.0
Sango Ward,0.7338628437058106,35.07687495434501,6.05,19.4
Kongoni Ward,0.7742797751198787,35.12645551812733,6.04,19.4
Nzoia Ward,0.8235300583739228,35.073909774898944,5.96,19.1
Sinoko Ward,0.8680953138377462,35.06622354758454,5.91,18.6
West Kabras Ward,0.4149700098020033,34.755590851398125,6.08,21.6
Chemuche Ward,0.436744700209233,34.88399599069817,5.97,21.6
East Kabras Ward,0.3979787794810125,34.902809041953326,5.93,21.4
Butali Chegulo Ward,0.4954076956948974,34.81823814803452,6.08,22.0
Manda-shivanga Ward,0.5321573277964878,34.861105062957115,6.04,21.1
Shirungu-mugai Ward,0.4572809438126623,34.78961264232964,6.09,21.6
South Kabras Ward,0.3745555921443015,34.80853714107573,6.02,21.3
Butsotso East Ward,0.3229927306495305,34.74592180877698,6.06,21.5
Butsotso South  Ward,0.2328455413412302,34.62540487563527,6.09,21.6
Butsotso Central Ward,0.2758929331185972,34.67390865309409,6.08,21.9
Sheywe Ward,0.2983999939939777,34.75155292744998,6.05,21.2
Mahiakalo Ward,0.2944676641567808,34.7769887027328,6.04,21.3
Shirere Ward,0.2633041151249863,34.7434956316254,6.05,21.3
Ingoste-matiha Ward,0.3575692463688543,34.73176248791758,6.07,21.6
Shinoyi-shikomari-esumeiya Ward,0.3253809314921648,34.6716809372711,6.08,22.1
Bunyala West Ward,0.4031616725591218,34.62451203482861,6.12,22.5
Bunyala East Ward,0.4521322779176049,34.706057158706066,6.13,22.1
Bunyala Central Ward,0.4015643494471256,34.68427446106499,6.11,21.7
Mumias Central Ward,0.3265839705969107,34.45980471650934,6.12,22.1
Kipevu Ward,-4.037484251978808,39.630718588154295,5.57,26.3
BELGUT,-0.3616193531259918,35.22289618680639,5.73,19.3
Chewani Ward,-1.352079566903387,39.99658745275675,5.43,28.3
Kinakomba Ward,-1.7044829895823204,39.96701592392952,5.34,28.1
Kanyasa Ward,-0.8187433544471235,34.21770959003831,5.94,22.6
North Kadem Ward,-0.9075544810785552,34.250869546788785,6.02,23.5
Macalder/kanyarwanda Ward,-0.9804569429835772,34.265558940926816,5.98,23.6
Kaler Ward,-1.0746004520430763,34.234599621132425,5.96,22.8
Got Kachola Ward,-1.0070987988037263,34.18876891573271,6.1,23.5
Muhuru Ward,-1.025066426670932,34.11996405834064,6.1,23.8
Bukira East Ward,-1.1976403875111856,34.61292438559069,5.96,21.8
Bukira Central/ikerege Ward,-1.197461379687126,34.56194843845875,5.94,21.6
